"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1500000US060371066491","Block Group 1; Census Tract 1066.49; Los Angeles County; California","-","**",
"1500000US060371066492","Block Group 2; Census Tract 1066.49; Los Angeles County; California","3,500+","***",
"1500000US060371070101","Block Group 1; Census Tract 1070.10; Los Angeles County; California","1853","207",
"1500000US060371070102","Block Group 2; Census Tract 1070.10; Los Angeles County; California","1982","755",
"1500000US060371070201","Block Group 1; Census Tract 1070.20; Los Angeles County; California","1735","186",
"1500000US060371070202","Block Group 2; Census Tract 1070.20; Los Angeles County; California","2146","995",
"1500000US060371070203","Block Group 3; Census Tract 1070.20; Los Angeles County; California","1739","163",
"1500000US060371070204","Block Group 4; Census Tract 1070.20; Los Angeles County; California","-","**",
"1500000US060371081011","Block Group 1; Census Tract 1081.01; Los Angeles County; California","3,500+","***",
"1500000US060371081021","Block Group 1; Census Tract 1081.02; Los Angeles County; California","3333","599",
"1500000US060371081022","Block Group 2; Census Tract 1081.02; Los Angeles County; California","-","**",
"1500000US060371081023","Block Group 3; Census Tract 1081.02; Los Angeles County; California","-","**",
"1500000US060371081031","Block Group 1; Census Tract 1081.03; Los Angeles County; California","-","**",
"1500000US060371081032","Block Group 2; Census Tract 1081.03; Los Angeles County; California","-","**",
"1500000US060371081041","Block Group 1; Census Tract 1081.04; Los Angeles County; California","3,500+","***",
"1500000US060371082021","Block Group 1; Census Tract 1082.02; Los Angeles County; California","2315","431",
"1500000US060371082022","Block Group 2; Census Tract 1082.02; Los Angeles County; California","2785","234",
"1500000US060371082023","Block Group 3; Census Tract 1082.02; Los Angeles County; California","-","**",
"1500000US060371082031","Block Group 1; Census Tract 1082.03; Los Angeles County; California","3,500+","***",
"1500000US060371082032","Block Group 2; Census Tract 1082.03; Los Angeles County; California","3,500+","***",
"1500000US060371082041","Block Group 1; Census Tract 1082.04; Los Angeles County; California","-","**",
"1500000US060371091001","Block Group 1; Census Tract 1091; Los Angeles County; California","1188","196",
"1500000US060371091002","Block Group 2; Census Tract 1091; Los Angeles County; California","2638","721",
"1500000US060371092001","Block Group 1; Census Tract 1092; Los Angeles County; California","-","**",
"1500000US060371092002","Block Group 2; Census Tract 1092; Los Angeles County; California","3182","721",
"1500000US060371092003","Block Group 3; Census Tract 1092; Los Angeles County; California","2813","538",
"1500000US060371093001","Block Group 1; Census Tract 1093; Los Angeles County; California","2750","1247",
"1500000US060371093002","Block Group 2; Census Tract 1093; Los Angeles County; California","3,500+","***",
"1500000US060371093003","Block Group 3; Census Tract 1093; Los Angeles County; California","-","**",
"1500000US060371094001","Block Group 1; Census Tract 1094; Los Angeles County; California","-","**",
"1500000US060371094002","Block Group 2; Census Tract 1094; Los Angeles County; California","2877","345",
"1500000US060371094003","Block Group 3; Census Tract 1094; Los Angeles County; California","1625","519",
"1500000US060371095001","Block Group 1; Census Tract 1095; Los Angeles County; California","2059","700",
"1500000US060371095002","Block Group 2; Census Tract 1095; Los Angeles County; California","2057","475",
"1500000US060371095003","Block Group 3; Census Tract 1095; Los Angeles County; California","2359","1073",
"1500000US060371096011","Block Group 1; Census Tract 1096.01; Los Angeles County; California","-","**",
"1500000US060371096012","Block Group 2; Census Tract 1096.01; Los Angeles County; California","-","**",
"1500000US060371096013","Block Group 3; Census Tract 1096.01; Los Angeles County; California","-","**",
"1500000US060371096014","Block Group 4; Census Tract 1096.01; Los Angeles County; California","3,500+","***",
"1500000US060371096031","Block Group 1; Census Tract 1096.03; Los Angeles County; California","944","593",
"1500000US060371096032","Block Group 2; Census Tract 1096.03; Los Angeles County; California","1505","340",
"1500000US060371096033","Block Group 3; Census Tract 1096.03; Los Angeles County; California","1824","233",
"1500000US060371096041","Block Group 1; Census Tract 1096.04; Los Angeles County; California","1186","191",
"1500000US060371096042","Block Group 2; Census Tract 1096.04; Los Angeles County; California","2625","2364",
"1500000US060371096043","Block Group 3; Census Tract 1096.04; Los Angeles County; California","-","**",
"1500000US060371097001","Block Group 1; Census Tract 1097; Los Angeles County; California","2404","790",
"1500000US060371097002","Block Group 2; Census Tract 1097; Los Angeles County; California","2194","301",
"1500000US060371097003","Block Group 3; Census Tract 1097; Los Angeles County; California","-","**",
"1500000US060371098001","Block Group 1; Census Tract 1098; Los Angeles County; California","2824","490",
"1500000US060371098002","Block Group 2; Census Tract 1098; Los Angeles County; California","-","**",
"1500000US060371098003","Block Group 3; Census Tract 1098; Los Angeles County; California","1494","840",
"1500000US060371098004","Block Group 4; Census Tract 1098; Los Angeles County; California","1808","1791",
"1500000US060371111001","Block Group 1; Census Tract 1111; Los Angeles County; California","2791","394",
"1500000US060371111002","Block Group 2; Census Tract 1111; Los Angeles County; California","1929","227",
"1500000US060371112011","Block Group 1; Census Tract 1112.01; Los Angeles County; California","-","**",
"1500000US060371112012","Block Group 2; Census Tract 1112.01; Los Angeles County; California","2950","873",
